IMMUNZATN_ID	NAME
93	TETANUS, DIPHTHERIA AND ACELLULAR PERTUSSIS (BOOSTRIX)TDAP
91312	COVID-19 (PFIZER-BIVALENT) MRNA AGES 12+
98	HEPATITIS A, UNSPECIFIED FORMULATION
40821	INFLUENZA, UNSPECIFIED FORMULATION
121	SARS-COV-2 (COVID-19), UNSPECIFIED FORMULATION
109	TETANUS-DIPHTHERIA, UNSPECIFIED FORMULATION
91301	COVID-19 (MODERNA) MRNA
40890686	INFLUENZA, INACTIVATED, QUADRIVALENT, ALL AGES 6 MONTHS AND OLDER, SINGLE DOSE SYRINGE/VIAL
99	HEPATITIS B, UNSPECIFIED FORMULATION
61	TDAP
9	VARICELLA (VARIVAX) VAR
85	HEPATITIS A (HAVRIX) HEPA ADULT
90674	INFLUENZA (FLUCELVAX) CCIIV4, PREFILLED SYRINGE
42890686	INFLUENZA (FLUARIX) IIV4
64	TYPHOID INACTIVATED (TYPHIM VI)
44	MEASLES-MUMPS-RUBELLA (M-M-R II) MMR
111	TYPHOID, UNSPECIFIED FORMULATION
38	HEPATITIS A ADULT
