HM_TOPIC_ID	NAME
2100000014	Hepatitis B Vaccine
12	Japanese Encephalitis Vaccine
66	COVID-19 Vaccine
50	Annual Wellness Visit
95	RSV < 20 Months
15	Rabies Vaccine
2100000033	Hepatitis A Vaccine
80	Influenza Vaccine
22	Typhoid Vaccine
2100000114	Tetanus/Pertussis Vaccine Teen/Adult
2100000013	HIB Vaccine
2100000111	HPV Vaccine (F:9-26YO,M: 9-22)
16	Yellow Fever Vaccine
14	Zoster (Shingles) Vaccine 50+
9	Lab-Diabetes Screening
13	Cholera Vaccine
92	Orthopoxvirus Immunization
64	Lab-Cholesterol Screening
4	Meningococcal B Vaccine
46	Lab-Hepatitis C Screening
25	Pneumococcal Vaccines 0-64 yo
2100000015	IPV Vaccine
19	Meningococcal Conjugate Vaccine
