PROC_ID	PROC_NAME
91	AMB REFERRAL TO GASTROENTEROLOGY
133	AMB REFERRAL TO NEUROLOGY
147	AMB REFERRAL TO OCCUPATIONAL THERAPY EVAL AND TREAT
678	BASIC METABOLIC PANEL
684	LIPID PANEL
828	HEMOGLOBIN A1C
7080	INSURANCE PAYMENT  (INSURANCE)
7084	PATIENT PAYMENT (ACCOUNT)
10226	CONTRACTUAL WRITE-OFF (INSURANCE)
13199	PR COLLECTION VENOUS BLOOD,VENIPUNCTURE
19722	CHG BASIC METABOLIC PANEL CALCIUM TOTAL
19732	CHG LIPID PANEL
20302	PR GLYCOSYLATED HEMOGLOBIN TEST
22128	PR IMMUNIZ ADMIN,1 SINGLE/COMB VAC/TOXOID
23660	PR OFFICE/OUTPATIENT ESTABLISHED LOW MDM 20 MIN
23662	PR OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30 MIN
23868	PR PREVENTIVE VISIT,EST,18-39
23870	PR PREVENTIVE VISIT,EST,40-64
33694	XR ANKLE MIN 3 VIEWS
33774	CT HEAD OR BRAIN W WO CONTRAST
33946	MRI BRAIN WO CONTRAST
34691	SYSTEM CREDIT ADJUSTMENT
34693	SYSTEM DEBIT ADJUSTMENT
35289	H. PYLORI ANTIGEN, STOOL
42500	WISDOM TOOTH EXTRACTION
64768	HEPATITIS C ANTIBODY
71168	HC RX 637
79022	HC ADL/SELF CARE TRN EA 15M
87356	HC OT EVAL LOW COMPLEX
96431	PR IIV4 VACC PRESRV FREE 0.5 ML DOS FOR IM USE
99974	AVADYNE PAYMENT
104664	EMDEON INSURANCE PAYMENT
107741	INFLUENZA (FLUARIX) IIV4
127252	COVID-19, EXTERNAL
